time,open,high,low,close,Volume
1770882660,1.36321,1.36334,1.3629,1.36303,293
1770882840,1.36302,1.36308,1.36254,1.36308,423
1770883020,1.36307,1.3634,1.36294,1.36328,537
1770883200,1.36328,1.3637,1.36328,1.36368,532
1770883380,1.36368,1.36372,1.36333,1.36342,598
1770883560,1.36342,1.36382,1.36338,1.36375,467
1770883740,1.36376,1.36388,1.36352,1.3638,516
1770883920,1.36379,1.36398,1.36372,1.3639,421
1770884100,1.36392,1.36472,1.36391,1.36423,743
1770884280,1.36423,1.36424,1.36365,1.3637,604
1770884460,1.36371,1.36384,1.36358,1.36362,360
1770884640,1.3636,1.3638,1.36341,1.3636,470
1770884820,1.3636,1.36379,1.36347,1.36371,472
1770885000,1.36372,1.36392,1.36362,1.36366,432
1770885180,1.36368,1.36376,1.36344,1.36352,428
1770885360,1.36351,1.36351,1.36318,1.36318,454
1770885540,1.36316,1.36332,1.3628,1.36326,518
1770885720,1.36328,1.36332,1.36275,1.3628,364
1770885900,1.3628,1.36305,1.3627,1.36304,408
1770886080,1.36303,1.36357,1.36302,1.36352,494
1770886260,1.3635,1.36386,1.36349,1.36368,474
1770886440,1.36368,1.36368,1.36332,1.36332,578
1770886620,1.36331,1.36394,1.36328,1.36374,625
1770886800,1.36374,1.36426,1.36371,1.36402,734
1770886980,1.36402,1.36433,1.36395,1.36417,598
1770887160,1.36418,1.36424,1.36402,1.36418,533
1770887340,1.36417,1.36492,1.36408,1.36472,709
1770887520,1.36473,1.36484,1.36455,1.36484,513
1770887700,1.36484,1.36494,1.3646,1.36482,685
1770887880,1.36482,1.36482,1.36458,1.36468,531
1770888060,1.36467,1.36502,1.36452,1.365,406
1770888240,1.36502,1.36535,1.36502,1.3653,486
1770888420,1.36532,1.3654,1.36491,1.36494,514
1770888600,1.36493,1.36508,1.36475,1.36507,548
1770888780,1.36508,1.36514,1.36487,1.36494,375
1770888960,1.36494,1.36514,1.36482,1.36505,394
1770889140,1.36506,1.36509,1.36484,1.36484,259
