time,open,high,low,close,Volume
1769990460,154.838,154.841,154.838,154.841,5
1769990520,154.841,154.843,154.841,154.843,2
1769990580,154.844,154.845,154.844,154.845,2
1769990640,154.84,154.841,154.84,154.841,2
1769990700,154.841,154.842,154.841,154.842,2
1769990760,154.889,154.911,154.877,154.907,18
1769990820,154.907,154.918,154.907,154.918,2
1769990880,154.918,154.918,154.913,154.913,2
1769990940,154.903,154.903,154.9,154.9,4
1769991000,154.9,154.916,154.9,154.916,5
1769991060,154.916,154.925,154.916,154.919,3
1769991120,154.919,154.919,154.916,154.916,2
1769991180,154.916,154.916,154.908,154.911,4
1769991240,154.911,154.911,154.911,154.911,1
1769991300,154.911,154.964,154.905,154.947,15
1769991360,154.947,154.947,154.946,154.946,2
1769991420,154.95,154.951,154.947,154.951,4
1769991480,154.951,154.953,154.935,154.952,13
1769991540,154.952,155.053,154.943,155.018,19
1769991600,155.022,155.107,155.004,155.107,13
1769991660,155.105,155.112,155.062,155.086,25
1769991720,155.08,155.089,155.08,155.084,5
1769991780,155.084,155.084,155.044,155.079,7
1769991840,155.041,155.114,155.041,155.084,5
1769991900,155.093,155.105,155.093,155.105,4
1769991960,155.105,155.194,155.105,155.174,13
1769992020,155.177,155.311,155.171,155.311,12
1769992080,155.311,155.343,155.309,155.321,12
1769992140,155.321,155.326,155.288,155.326,4
1769992200,155.325,155.386,155.323,155.381,11
1769992260,155.372,155.372,155.308,155.315,13
1769992320,155.315,155.331,155.315,155.321,5
1769992380,155.31,155.334,155.296,155.332,7
1769992440,155.332,155.342,155.322,155.323,8
1769992500,155.332,155.344,155.329,155.33,5
1769992560,155.33,155.348,155.323,155.323,5
1769992620,155.323,155.348,155.323,155.324,4
1769992680,155.346,155.346,155.324,155.345,4
1769992740,155.323,155.345,155.323,155.345,2
1769992800,155.338,155.345,155.332,155.343,11
1769992860,155.343,155.347,155.331,155.347,4
1769992920,155.347,155.347,155.328,155.344,4
1769992980,155.33,155.344,155.325,155.337,4
1769993040,155.337,155.346,155.337,155.346,5
1769993100,155.348,155.357,155.348,155.356,7
1769993160,155.332,155.351,155.332,155.347,3
1769993220,155.324,155.35,155.324,155.35,5
1769993280,155.355,155.406,155.355,155.394,6
1769993340,155.384,155.394,155.364,155.394,7
1769993400,155.38,155.39,155.379,155.39,3
1769993460,155.381,155.381,155.369,155.369,5
1769993520,155.369,155.369,155.368,155.369,3
1769993580,155.377,155.379,155.374,155.374,7
1769993640,155.377,155.377,155.371,155.373,6
1769993700,155.369,155.375,155.369,155.375,6
1769993760,155.375,155.375,155.358,155.358,6
1769993820,155.358,155.358,155.309,155.331,12
1769993880,155.331,155.331,155.319,155.33,7
1769993940,155.331,155.367,155.24,155.25,8
1769994000,155.346,155.386,155.299,155.382,75
1769994060,155.372,155.404,155.369,155.401,50
1769994120,155.404,155.432,155.396,155.415,43
1769994180,155.416,155.45,155.348,155.405,48
1769994240,155.409,155.443,155.403,155.441,45
1769994300,155.434,155.464,155.416,155.455,52
1769994360,155.459,155.481,155.454,155.47,44
1769994420,155.47,155.487,155.458,155.469,40
1769994480,155.458,155.47,155.446,155.45,38
1769994540,155.448,155.497,155.448,155.479,53
1769994600,155.48,155.496,155.474,155.48,51
1769994660,155.48,155.512,155.477,155.512,52
1769994720,155.499,155.501,155.424,155.453,53
1769994780,155.453,155.455,155.426,155.438,61
1769994840,155.438,155.463,155.437,155.463,52
1769994900,155.464,155.496,155.464,155.485,55
1769994960,155.485,155.486,155.456,155.465,37
1769995020,155.463,155.465,155.45,155.453,36
1769995080,155.453,155.454,155.335,155.385,70
1769995140,155.384,155.393,155.343,155.366,56
1769995200,155.37,155.424,155.37,155.423,63
1769995260,155.423,155.43,155.378,155.418,73
1769995320,155.428,155.443,155.415,155.43,44
1769995380,155.43,155.438,155.414,155.426,47
1769995440,155.431,155.45,155.428,155.45,36
1769995500,155.449,155.464,155.411,155.412,54
1769995560,155.413,155.414,155.353,155.356,44
1769995620,155.357,155.391,155.353,155.374,43
1769995680,155.374,155.395,155.362,155.393,48
1769995740,155.392,155.392,155.337,155.351,52
1769995800,155.352,155.366,155.302,155.307,55
1769995860,155.317,155.322,155.242,155.244,67
1769995920,155.244,155.256,155.192,155.256,63
1769995980,155.254,155.255,155.202,155.219,58
1769996040,155.218,155.23,155.183,155.19,59
1769996100,155.19,155.23,155.174,155.23,59
1769996160,155.232,155.252,155.203,155.252,59
1769996220,155.251,155.251,155.153,155.169,72
1769996280,155.169,155.169,155.104,155.116,74
1769996340,155.116,155.141,155.103,155.108,67
1769996400,155.107,155.111,155.082,155.092,70
1769996460,155.094,155.165,155.081,155.164,57
1769996520,155.166,155.186,155.162,155.167,53
1769996580,155.168,155.185,155.158,155.184,50
1769996640,155.185,155.191,155.166,155.169,61
1769996700,155.172,155.188,155.141,155.186,66
1769996760,155.186,155.186,155.13,155.151,58
1769996820,155.15,155.181,155.144,155.18,57
1769996880,155.181,155.193,155.175,155.18,52
1769996940,155.177,155.196,155.169,155.196,65
1769997000,155.194,155.241,155.188,155.21,73
1769997060,155.214,155.214,155.102,155.181,83
