time,open,high,low,close,Volume
1770588240,1.18126,1.18128,1.18126,1.18128,2
1770588300,1.18129,1.18154,1.18128,1.18154,20
1770588360,1.18154,1.18154,1.18142,1.1815,30
1770588420,1.1815,1.18152,1.18143,1.18152,15
1770588480,1.18154,1.18154,1.18142,1.18142,7
1770588540,1.18142,1.18143,1.18142,1.18142,3
1770588600,1.18142,1.18142,1.18142,1.18142,2
1770588660,1.18144,1.18145,1.18142,1.18142,6
1770588720,1.18144,1.1815,1.18143,1.18149,6
1770588780,1.1815,1.18152,1.18144,1.18144,11
1770588840,1.18144,1.18144,1.18144,1.18144,1
1770588900,1.1814,1.18148,1.1814,1.18144,24
1770588960,1.18141,1.18144,1.18137,1.18144,28
1770589020,1.18148,1.18148,1.18142,1.18142,14
1770589080,1.18142,1.18142,1.1814,1.18142,3
1770589140,1.18141,1.18144,1.18135,1.1814,28
1770589200,1.18136,1.18141,1.18136,1.1814,18
1770589260,1.18142,1.18142,1.18138,1.18138,15
1770589320,1.18141,1.18142,1.18136,1.1814,36
1770589380,1.18142,1.18144,1.18138,1.1814,14
1770589440,1.18137,1.18142,1.18136,1.1814,45
1770589500,1.18138,1.18142,1.18137,1.1814,14
1770589560,1.18144,1.18144,1.18142,1.18142,4
1770589620,1.18137,1.18142,1.18136,1.18142,12
1770589680,1.1814,1.1814,1.18136,1.18136,2
1770589740,1.18135,1.18137,1.18135,1.18136,6
1770589800,1.18139,1.18142,1.18139,1.18142,7
1770589860,1.18145,1.18145,1.1814,1.18144,8
1770589920,1.18142,1.18146,1.1814,1.18144,13
1770589980,1.18142,1.1815,1.18142,1.1815,9
1770590040,1.18152,1.18152,1.18144,1.18144,13
1770590100,1.18144,1.18144,1.18142,1.18144,10
1770590160,1.18142,1.18142,1.18139,1.18139,2
1770590220,1.18142,1.18144,1.18138,1.18144,5
1770590280,1.18142,1.18147,1.18142,1.18147,6
1770590340,1.18144,1.18152,1.18144,1.18148,12
1770590400,1.18148,1.1815,1.18148,1.1815,10
1770590460,1.18148,1.18151,1.18147,1.18148,8
1770590520,1.18148,1.18148,1.18147,1.18148,29
1770590580,1.18147,1.18148,1.18144,1.18148,38
1770590640,1.18148,1.18148,1.18148,1.18148,2
1770590700,1.18148,1.18154,1.18148,1.18154,3
1770590760,1.18152,1.18152,1.18152,1.18152,2
1770590820,1.18152,1.18154,1.18152,1.18153,4
1770590880,1.18153,1.18154,1.18153,1.18154,2
1770590940,1.18153,1.18154,1.18152,1.18152,15
1770591000,1.18154,1.18154,1.18154,1.18154,2
1770591060,1.18154,1.18154,1.18154,1.18154,2
1770591120,1.18156,1.18156,1.18154,1.18154,6
1770591180,1.18156,1.18156,1.18154,1.18154,12
1770591240,1.18154,1.18154,1.18152,1.18154,10
1770591300,1.18154,1.18158,1.18153,1.18158,20
1770591360,1.18158,1.18167,1.18156,1.18165,22
1770591420,1.18166,1.18166,1.18163,1.18166,21
1770591480,1.18164,1.18166,1.18161,1.18164,40
1770591540,1.18163,1.18166,1.1816,1.18164,81
1770591600,1.18162,1.18168,1.1815,1.18154,53
1770591660,1.18152,1.18222,1.18149,1.1819,131
1770591720,1.18188,1.18188,1.1816,1.1816,67
1770591780,1.18161,1.18165,1.18154,1.18154,23
1770591840,1.18152,1.1816,1.18126,1.18146,89
1770591900,1.18144,1.18148,1.18136,1.18142,69
1770591960,1.18142,1.18153,1.18142,1.1815,54
1770592020,1.18149,1.18164,1.18146,1.18154,45
1770592080,1.18152,1.18152,1.18134,1.18136,36
1770592140,1.18136,1.1815,1.18121,1.18126,103
1770592200,1.18122,1.18124,1.18115,1.18118,44
1770592260,1.18118,1.18124,1.18115,1.18124,44
1770592320,1.18124,1.18132,1.18112,1.18113,58
1770592380,1.18111,1.18111,1.18097,1.18103,66
1770592440,1.18102,1.18114,1.181,1.18114,42
1770592500,1.18111,1.18111,1.18104,1.18108,29
1770592560,1.18108,1.18126,1.18104,1.18108,76
1770592620,1.18108,1.18116,1.18108,1.18116,49
1770592680,1.18118,1.18128,1.18111,1.18111,51
1770592740,1.18112,1.1812,1.18111,1.1812,33
1770592800,1.1812,1.1812,1.1811,1.18114,36
1770592860,1.18112,1.18116,1.18102,1.18115,61
1770592920,1.18116,1.18127,1.18112,1.18118,31
1770592980,1.1812,1.18128,1.18119,1.18126,42
1770593040,1.18128,1.18128,1.18114,1.18122,55
1770593100,1.18121,1.18132,1.18117,1.18132,83
1770593160,1.18132,1.18134,1.1812,1.18128,69
1770593220,1.18127,1.18129,1.18114,1.18124,69
1770593280,1.18124,1.18143,1.18124,1.18143,36
1770593340,1.18141,1.18145,1.18139,1.18144,23
1770593400,1.18145,1.18145,1.18132,1.18144,66
1770593460,1.18144,1.18192,1.18135,1.18192,141
1770593520,1.18192,1.18201,1.18182,1.18188,216
1770593580,1.18188,1.18194,1.18176,1.18188,131
1770593640,1.18188,1.18202,1.18182,1.18189,135
1770593700,1.18188,1.18196,1.18186,1.18191,151
1770593760,1.18192,1.18194,1.18182,1.18193,110
1770593820,1.18191,1.18204,1.18186,1.18202,127
1770593880,1.18202,1.18208,1.182,1.18205,63
1770593940,1.18204,1.18206,1.18202,1.18202,73
1770594000,1.18202,1.18212,1.182,1.18208,110
1770594060,1.18207,1.18208,1.1819,1.18201,113
1770594120,1.18202,1.18204,1.1819,1.18198,54
1770594180,1.18198,1.18204,1.18194,1.182,67
1770594240,1.182,1.1821,1.18194,1.1821,93
1770594300,1.1821,1.1823,1.18208,1.18212,206
1770594360,1.1821,1.18214,1.18192,1.182,108
1770594420,1.182,1.18203,1.18195,1.18198,37
1770594480,1.18197,1.182,1.18189,1.18196,44
1770594540,1.18196,1.1823,1.18192,1.18226,120
1770594600,1.18228,1.18236,1.18214,1.18226,190
1770594660,1.18224,1.1823,1.18212,1.18226,104
1770594720,1.18226,1.18232,1.18223,1.18231,106
1770594780,1.18232,1.18239,1.1823,1.18234,65
1770594840,1.18236,1.18236,1.18226,1.18229,94
1770594900,1.18228,1.18234,1.18223,1.18227,55
1770594960,1.18226,1.18238,1.18226,1.18238,75
1770595020,1.18238,1.18264,1.18238,1.18258,96
1770595080,1.18258,1.18261,1.18248,1.1826,79
1770595140,1.1826,1.18278,1.1826,1.18268,68
1770595200,1.18268,1.18268,1.18248,1.18255,153
1770595260,1.18256,1.18271,1.18253,1.18271,138
1770595320,1.1827,1.1829,1.18268,1.18284,120
1770595380,1.18284,1.18325,1.18284,1.1832,202
1770595440,1.18319,1.1832,1.18268,1.18268,213
1770595500,1.18268,1.18272,1.1826,1.18267,132
1770595560,1.18268,1.18288,1.18264,1.1828,185
1770595620,1.1828,1.18288,1.18272,1.18274,131
1770595680,1.18275,1.18284,1.18271,1.18281,162
1770595740,1.18283,1.18308,1.18282,1.18306,223
1770595800,1.18306,1.1832,1.18306,1.18314,195
1770595860,1.18314,1.1832,1.18295,1.1832,151
1770595920,1.18319,1.18337,1.18312,1.18332,152
1770595980,1.18332,1.18332,1.18316,1.18328,193
1770596040,1.18328,1.1833,1.18306,1.18308,122
1770596100,1.18308,1.18308,1.18278,1.1828,209
1770596160,1.18279,1.18292,1.18273,1.1829,147
1770596220,1.18291,1.18294,1.18282,1.18294,115
1770596280,1.18294,1.18297,1.18278,1.1828,97
1770596340,1.1828,1.1828,1.18268,1.18268,68
1770596400,1.18268,1.18271,1.18252,1.18252,137
1770596460,1.18254,1.18254,1.1824,1.18242,74
1770596520,1.18242,1.18268,1.18242,1.18263,95
1770596580,1.18262,1.1827,1.18262,1.18268,53
1770596640,1.18272,1.18306,1.18272,1.18302,139
1770596700,1.18302,1.18302,1.18278,1.1828,92
1770596760,1.18279,1.18286,1.18278,1.18283,64
1770596820,1.18282,1.18292,1.18278,1.18292,54
1770596880,1.18291,1.18294,1.18286,1.18288,66
1770596940,1.18287,1.18305,1.18284,1.18305,98
1770597000,1.18306,1.18306,1.18292,1.18292,121
1770597060,1.1829,1.18308,1.18288,1.183,106
1770597120,1.18301,1.18303,1.1828,1.18284,86
1770597180,1.18286,1.183,1.18286,1.18296,134
1770597240,1.18296,1.18303,1.18294,1.18294,62
1770597300,1.18294,1.18294,1.18273,1.18275,77
1770597360,1.18276,1.18288,1.18276,1.18285,106
1770597420,1.18286,1.18296,1.18282,1.18286,92
1770597480,1.18285,1.1829,1.18277,1.18278,84
1770597540,1.1828,1.18282,1.18272,1.18278,71
1770597600,1.1828,1.18282,1.18266,1.18266,90
1770597660,1.18267,1.18268,1.18259,1.18262,75
1770597720,1.18262,1.18275,1.18254,1.18275,54
1770597780,1.18276,1.18282,1.18272,1.18275,74
1770597840,1.18277,1.18284,1.18274,1.18283,72
1770597900,1.18284,1.18285,1.18279,1.18285,74
1770597960,1.18284,1.18286,1.18278,1.18278,59
1770598020,1.18278,1.18302,1.18278,1.1829,112
1770598080,1.1829,1.18294,1.18282,1.18288,84
1770598140,1.18289,1.18292,1.1828,1.1828,74
1770598200,1.1828,1.18294,1.18278,1.18294,68
1770598260,1.18294,1.18298,1.18289,1.18298,73
1770598320,1.18297,1.18302,1.18287,1.18299,72
1770598380,1.18299,1.18308,1.18292,1.18293,155
1770598440,1.18294,1.18301,1.18288,1.18291,181
1770598500,1.1829,1.18298,1.18282,1.18292,242
1770598560,1.18291,1.18294,1.18286,1.18292,45
